Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,ExclusiveShelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35277867,Sapiens: A Brief History of Humankind: (Patterns of Life),Yuval Noah Harari,"Harari, Yuval Noah",,"=""1784873640""","=""9781784873646""",0,4.38,Vintage Classics,Paperback,544,2019,2011,,2022/04/06,currently-reading,currently-reading (#1),currently-reading,,,,1,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2020/07/22,to-read,to-read (#15),to-read,,,,0,0
8909,The War of the Worlds,H.G. Wells,"Wells, H.G.",Arthur C. Clarke,"=""0375759239""","=""9780375759239""",0,3.83,Modern BooksLibrary,Paperback,192,2002,1897,,2020/07/22,to-read,to-read (#14),to-read,,,,0,0
61666,Contact,Carl Sagan,"Sagan, Carl",William Olivier Desmond,"=""2266079999""","=""9782266079990""",0,4.14,Pocket,Mass Market Paperback,580,1997,1986,,2020/07/22,to-read,to-read (#13),to-read,,,,0,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",0,4.25,Ace Books,Hardcover,658,2019,1965,,2020/07/22,to-read,to-read (#12),to-read,,,,0,0
41804,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803700""","=""9780553803709""",0,4.21,Bantam Books,Hardcover,224,2004,1950,,2020/07/22,to-read,to-read (#11),to-read,,,,0,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",0,4.24,Crown Publishers,Hardcover,374,2011,2011,,2020/07/22,to-read,to-read (#10),to-read,,,,0,0
138269,Catch Me If You Can: The True Story of a Real Fake,Frank W. Abagnale,"Abagnale, Frank W.",Stan Redding,"=""1840187166""","=""9781840187168""",4,4.04,Mainstream Publishing,Paperback,224,2003,1980,,2020/07/18,,,read,,,,1,0
18710190,"Allegiant (Divergent, #3)",Veronica Roth,"Roth, Veronica",,"=""0007524277""","=""9780007524273""",4,3.61,HarperCollins Children's Book's,Hardcover,531,2013,2013,,2020/07/16,,,read,,,,1,0
11735983,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,"=""0007442912""","=""9780007442911""",4,3.99,HarperCollins Children's Books,Hardcover,525,2012,2012,,2020/07/16,,,read,,,,1,0
70535,2001: A Space Odyssey,Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",5,4.16,Roc,Paperback,297,2000,1968,,2020/07/16,,,read,,,,1,0
40405821,The Richest Man in Babylon,George S. Clason,"Clason, George S.",,"=""938766936X""","=""9789387669369""",4,4.26,General Press,Paperback,162,2018,1926,,2020/07/16,,,read,,,,1,0
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024035""","=""9780062024039""",4,4.16,Katherine Tegen Books,Paperback,487,2012,2011,2014/01/01,2020/07/15,,,read,,,,1,0
223380,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""0330426648""","=""9780330426640""",0,4.25,Small Beer Press,ebook,281,2010,2002,,2019/02/13,to-read,to-read (#9),to-read,,,,0,0
668634,Dimension of Miracles (Dimension of Miracles #1),Robert Sheckley,"Sheckley, Robert",,"=""0441148603""","=""""",0,3.92,Ace,Paperback,214,1979,1968,,2019/02/13,to-read,to-read (#8),to-read,,,,0,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,4.19,New American BooksLibrary,Mass Market Paperback,328,1950,1949,2018/09/27,2017/01/04,,,read,,,,1,0
8695,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,4.21,Del Rey,Paperback,250,2005,1980,,2018/02/09,,,read,,,,1,0
386162,"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,4.23,Del Rey,Paperback,193,2007,1979,,2018/02/09,,,read,,,,1,0
5907,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",0,4.28,Houghton Mifflin,Paperback,366,2002,1937,,2017/07/16,to-read,to-read (#7),to-read,,,,0,0
7613,Animal Farm,George Orwell,"Orwell, George","Celâl Üstüner, Τζωρτζ Όργουελ, José Manuel Moreno Cidoncha, Chris Mould, Αύγουστος Κορτώ, Boris Grabnar, Celâl Üster, Николай Николов, Κυριάκος Ντελόπουλος, Peter Škerl, Pau Masiques","=""""","=""""",0,3.98,NAL,Paperback,122,2003,1945,,2017/07/16,to-read,to-read (#6),to-read,,,,0,0
17470674,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0007491565""","=""9780007491568""",4,3.97,Harper Voyager,Hardcover,227,2013,1953,2017/01/25,2017/01/24,,,read,,,,1,0
28220985,"A Great Reckoning (Chief Inspector Armand Gamache, #12)",Louise Penny,"Penny, Louise",,"=""1250022134""","=""9781250022134""",0,4.43,Minotaur Books,Hardcover,389,2016,2016,,2017/01/25,to-read,to-read (#5),to-read,,,,0,0
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",0,4.00,William Morrow,Hardcover,268,2006,2005,,2016/09/17,to-read,to-read (#4),to-read,,,,0,0
24817626,Go Set a Watchman,Harper Lee,"Lee, Harper",,"=""0062409859""","=""9780062409850""",0,3.31,HarperCollins,Hardcover,278,2015,2015,,2016/09/17,to-read,to-read (#3),to-read,,,,0,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2015/12/12,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.58,Scholastic Inc.,Paperback,652,2006,2005,,2015/12/12,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.50,Scholastic Inc.,Paperback,912,2004,2003,,2015/12/03,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,,2015/11/25,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2015/11/25,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.","Mary GrandPré, Jim Kay","=""""","=""""",5,4.57,Scholastic,Paperback,734,2002,2000,,2015/11/25,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",4,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2015/11/25,,,read,,,,1,0
8921,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,"Doyle, Arthur Conan","Anne Perry, Lígia Junqueira, Mark Hallaq","=""""","=""""",5,4.13,Signet,Mass Market Paperback,256,2001,1901,,2015/09/18,,,read,,,,1,0
608474,"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,"Doyle, Arthur Conan",Peter Ackroyd,"=""0140439072""","=""9780140439076""",4,3.91,Penguin Books,Paperback,129,2001,1890,,2015/09/18,,,read,,,,1,0
102868,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""1420925539""","=""9781420925531""",5,4.14,Digireads.com,Paperback,123,2005,1887,,2015/09/18,,,read,,,,1,0
12820793,"The Oath of the Vayuputras (Shiva Trilogy, #3)",Amish Tripathi,"Tripathi, Amish",,"=""9382618341""","=""9789382618348""",4,3.82,Westland,Paperback,575,2013,2013,,2014/09/12,,,read,,,,1,0
24709327,"Scion of Ikshvaku (Ram Chandra, #1)",Amish Tripathi,"Tripathi, Amish",,"=""9385152149""","=""9789385152146""",3,3.85,Westland Publication,Paperback,354,2015,2015,,2015/08/03,,,read,,,,1,0
54539,Silas Marner,George Eliot,"Eliot, George",Cem Alpan,"=""""","=""""",3,3.67,Simon  Schuster,Paperback,262,2005,1861,,2015/03/25,,,read,,,,1,0
18514068,Sita: An Illustrated Retelling of the Ramayana,Devdutt Pattanaik,"Pattanaik, Devdutt",,"=""0143064320""","=""9780143064329""",4,4.08,Penguin,Paperback,328,2013,2013,,2015/03/23,,,read,,,,1,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",5,4.28,St. Martin's Press,Paperback,264,2004,1939,,2014/09/12,,,read,,,,1,0
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,"=""""","=""""",5,3.90,Anchor,Paperback,489,2006,2003,,2014/09/12,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",4,3.69,Penguin Books ,Paperback,182,1999,1954,,2014/08/25,,,read,,,,1,0
16304,Murder on the Orient Express,Agatha Christie,"Christie, Agatha",,"=""0425200450""","=""9780425200452""",5,4.20,Berkley,Paperback,322,2004,1934,,2014/09/12,,,read,,,,1,0
1774836,The Palace of Illusions,Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,"=""0385515995""","=""9780385515993""",5,4.19,Doubleday,Hardcover,360,2008,2008,,2014/09/19,,,read,,,,1,0
13563459,"Asura: Tale Of The Vanquished, The Story of Ravana and His People",Anand Neelakantan,"Neelakantan, Anand",,"=""938157605X""","=""9789381576052""",0,3.69,Platinum Press,Paperback,504,2012,2012,,2014/09/19,to-read,to-read (#2),to-read,,,,0,0
16424,"Peril at End House (Hercule Poirot, #7)",Agatha Christie,"Christie, Agatha",,"=""0007119305""","=""9780007119301""",4,3.99,HarperCollins,Paperback,287,2001,1932,,2014/09/14,,,read,,,,1,0
58696,David Copperfield,Charles Dickens,"Dickens, Charles","Jeremy Tambling, E.K. Brown, Phiz","=""""","=""""",3,4.02,Penguin ,Paperback,882,2004,1850,,2014/09/14,,,read,,,,1,0
9864913,Jaya: An Illustrated Retelling of the Mahabharata,Devdutt Pattanaik,"Pattanaik, Devdutt",,"=""014310425X""","=""9780143104254""",4,4.21,Penguin Global,Paperback,372,2011,2010,,2014/09/14,,,read,,,,1,0
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,"James, E.L.",,"=""1612130291""","=""9781612130293""",3,3.66,Vintage,Paperback,356,2011,2011,,2014/09/13,,,read,,,,1,0
42607,As You Like It,William Shakespeare,"Shakespeare, William","William James Rolfe, Halide Edip Adıvar, Vahit Turhan","=""074348486X""","=""9780743484862""",3,3.82,Simon Schuster,Paperback,263,2011,1599,,2014/09/13,,,read,,,,1,0
105578,One Night at the Call Center,Chetan Bhagat,"Bhagat, Chetan",,"=""0345498321""","=""9780345498328""",2,2.52,Ballantine Books,Paperback,320,2007,2005,,2014/09/13,,,read,,,,1,0
28194,"Inkheart (Inkworld, #1)",Cornelia Funke,"Funke, Cornelia",Anthea Bell,"=""0439709105""","=""9780439709101""",3,3.91,Scholastic Paperbacks,Paperback,563,2005,2003,,2014/09/13,,,read,,,,1,0
16328,"The Murder of Roger Ackroyd (Hercule Poirot, #3)",Agatha Christie,"Christie, Agatha",,"=""1579126278""","=""9781579126278""",4,4.26,Black Dog & Leventhal Publishers,Hardcover,288,2006,1926,,2014/09/13,,,read,What an amazing book!!!<br/>Had never anticipated the twist at the end.<br/>Just incredible!!,,,1,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",0,4.39,Alfred A. Knopf,Hardcover,552,2006,2006,,2014/09/12,to-read,to-read (#1),to-read,,,,0,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",4,4.33,Riverhead Books,Paperback,371,2004,2003,,2014/09/12,,,read,,,,1,0
11827808,The Secret of the Nagas (Shiva Trilogy #2),Amish Tripathi,"Tripathi, Amish",,"=""""","=""97893806587""",4,4.09,Westland,Paperback,371,2011,2011,,2014/09/12,,,read,,,,1,0
7913305,"The Immortals of Meluha (Shiva Trilogy, #1)",Amish Tripathi,"Tripathi, Amish",,"=""""","=""""",5,4.12,Westland ,Paperback,436,2010,2010,,2014/09/12,,,read,,,,1,0
12615008,"Revolution 2020: Love, Corruption, Ambition",Chetan Bhagat,"Bhagat, Chetan",,"=""8129118807""","=""9788129118806""",4,3.11,Rupa Publications,Paperback,296,2011,2011,,2014/09/12,,,read,,,,1,0
11125,Digital Fortress,Dan Brown,"Brown, Dan",,"=""""","=""""",3,3.69,Corgi books,Paperback,510,2004,1998,,2014/09/12,,,read,,,,1,0
17212231,"Inferno (Robert Langdon, #4)",Dan Brown,"Brown, Dan",,"=""0385537859""","=""9780385537858""",4,3.88,Doubleday,Hardcover,463,2013,2013,,2014/09/12,,,read,,,,1,0
960,"Angels & Demons (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",5,3.93,Pocket Books,Mass Market Paperback,736,2006,2000,,2014/08/25,,,read,,,,1,0
