Book Id,Cover,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,ExclusiveShelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35277867,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1595674533i/23692271.jpg,Sapiens: A Brief History of Humankind: (Patterns of Life),Yuval Noah Harari,"Harari, Yuval Noah",,1784873640,9781784873646,0,4.38,Vintage Classics,Paperback,544,2019,2011,,2022/04/06,currently-reading,currently-reading (#1),currently-reading,,,,1,0
168668,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668.jpg,Catch-22,Joseph Heller,"Heller, Joseph",,0684833395,9780684833392,0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2020/07/22,to-read,to-read (#15),to-read,,,,0,0
8909,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320391644i/8909.jpg,The War of the Worlds,H.G. Wells,"Wells, H.G.",Arthur C. Clarke,0375759239,9780375759239,0,3.83,Modern BooksLibrary,Paperback,192,2002,1897,,2020/07/22,to-read,to-read (#14),to-read,,,,0,0
61666,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1602082958i/61666.jpg,Contact,Carl Sagan,"Sagan, Carl",William Olivier Desmond,2266079999,9782266079990,0,4.14,Pocket,Mass Market Paperback,580,1997,1986,,2020/07/22,to-read,to-read (#13),to-read,,,,0,0
44767458,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458.jpg,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,059309932X,9780593099322,0,4.25,Ace Books,Hardcover,658,2019,1965,,2020/07/22,to-read,to-read (#12),to-read,,,,0,0
41804,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1609035271i/41804.jpg,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,0553803700,9780553803709,0,4.21,Bantam Books,Hardcover,224,2004,1950,,2020/07/22,to-read,to-read (#11),to-read,,,,0,0
9969571,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1500930947i/9969571.jpg,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,030788743X,9780307887436,0,4.24,Crown Publishers,Hardcover,374,2011,2011,,2020/07/22,to-read,to-read (#10),to-read,,,,0,0
138269,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358730242i/138269.jpg,Catch Me If You Can: The True Story of a Real Fake,Frank W. Abagnale,"Abagnale, Frank W.",Stan Redding,1840187166,9781840187168,4,4.04,Mainstream Publishing,Paperback,224,2003,1980,,2020/07/18,,,read,,,,1,0
18710190,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1395582745i/18710190.jpg,"Allegiant (Divergent, #3)",Veronica Roth,"Roth, Veronica",,0007524277,9780007524273,4,3.61,HarperCollins Children's Book's,Hardcover,531,2013,2013,,2020/07/16,,,read,,,,1,0
11735983,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618525340i/11735983.jpg,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,0007442912,9780007442911,4,3.99,HarperCollins Children's Books,Hardcover,525,2012,2012,,2020/07/16,,,read,,,,1,0
70535,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432468943i/70535.jpg,2001: A Space Odyssey,Arthur C. Clarke,"Clarke, Arthur C.",,,,5,4.16,Roc,Paperback,297,2000,1968,,2020/07/16,,,read,,,,1,0
40405821,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348336780i/1052.jpg,The Richest Man in Babylon,George S. Clason,"Clason, George S.",,938766936X,9789387669369,4,4.26,General Press,Paperback,162,2018,1926,,2020/07/16,,,read,,,,1,0
13335037,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037.jpg,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,0062024035,9780062024039,4,4.16,Katherine Tegen Books,Paperback,487,2012,2011,2014/01/01,2020/07/15,,,read,,,,1,0
223380,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1356138316i/223380.jpg,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,0330426648,9780330426640,0,4.25,Small Beer Press,ebook,281,2010,2002,,2019/02/13,to-read,to-read (#9),to-read,,,,0,0
5470,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657781256i/61439040.jpg,1984,George Orwell,"Orwell, George",,,,0,4.19,New American BooksLibrary,Mass Market Paperback,328,1950,1949,2018/09/27,2017/01/04,,,read,,,,1,0
8695,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1521213881i/8695.jpg,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,,,5,4.21,Del Rey,Paperback,250,2005,1980,,2018/02/09,,,read,,,,1,0
386162,https://images-na.ssl-images-amazon.com/images/I/91TpAAdiBLL.jpg,"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,,,5,4.23,Del Rey,Paperback,193,2007,1979,,2018/02/09,,,read,,,,1,0
5907,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907.jpg,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin",,,0,4.28,Houghton Mifflin,Paperback,366,2002,1937,,2017/07/16,to-read,to-read (#7),to-read,,,,0,0
7613,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg,Animal Farm,George Orwell,"Orwell, George","Celâl Üstüner, Τζωρτζ Όργουελ, José Manuel Moreno Cidoncha, Chris Mould, Αύγουστος Κορτώ, Boris Grabnar, Celâl Üster, Николай Николов, Κυριάκος Ντελόπουλος, Peter Škerl, Pau Masiques",,,0,3.98,NAL,Paperback,122,2003,1945,,2017/07/16,to-read,to-read (#6),to-read,,,,0,0
17470674,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1608059811i/56302573.jpg,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,0007491565,9780007491568,4,3.97,Harper Voyager,Hardcover,227,2013,1953,2017/01/25,2017/01/24,,,read,,,,1,0
1202,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1550917827i/1202.jpg,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,0061234001,9780061234002,0,4.00,William Morrow,Hardcover,268,2006,2005,,2016/09/17,to-read,to-read (#4),to-read,,,,0,0
